Provincia;Incidenti_2021;Morti_2021;Feriti_2022;Incidenti_2022;Morti_2022;Feriti_2022;Incidenti_2023;Morti_2023;Feriti_2023
Torino;5166;67;7295;5294;88;7543;5346;69;7512
Vercelli;308;5;436;390;20;558;391;17;547
Biella;361;13;458;388;3;485;379;10;467
Verbano-Cusio-Ossola;360;4;447;372;5;469;371;8;462
Novara;974;19;1299;1042;34;1347;939;11;1311
Cuneo;1143;48;1625;1136;43;1590;1084;32;1545
Asti;388;8;504;428;12;568;391;14;518
Alessandria;1059;28;1413;1098;36;1524;1128;17;1556
Piemonte;9759;192;13477;10148;241;14084;10029;178;13918
Valle d'Aosta/Vallée d'Aoste ;247;1;327;327;10;447;289;5;411
Varese;2098;28;2736;2198;30;2884;2173;27;2794
Como;1205;22;1585;1366;30;1843;1389;20;1818
Lecco;684;14;929;746;15;1030;784;18;1047
Sondrio;352;5;522;381;9;564;417;14;627
Milano;11385;87;14390;12613;100;16101;12768;120;16177
Monza e della Brianza;1849;19;2374;2172;15;2764;2357;13;2964
Bergamo;2414;33;3126;2700;46;3643;2720;41;3575
Brescia;2551;66;3441;2840;61;3799;2881;59;3927
Pavia;1236;34;1703;1381;42;1913;1314;30;1808
Lodi;345;4;503;405;9;623;446;6;636
Cremona;899;24;1212;987;18;1365;989;10;1325
Mantova;820;21;1151;997;27;1383;952;19;1330
Lombardia;25838;357;33672;28786;402;37912;29190;377;38028
Bolzano-Bozen;1492;24;1965;1775;33;2291;1766;35;2310
Trento;1125;25;1533;1346;33;1799;1289;36;1758
Trentino-A.Adige;2617;49;3498;3121;66;4090;3055;71;4068
Verona;2697;47;3506;2889;60;3695;2884;64;3767
Vicenza;1946;32;2530;2187;45;2799;2114;43;2721
Belluno;407;15;564;427;16;564;429;19;605
Treviso;1967;63;2725;2077;63;2791;1860;54;2546
Venezia;2257;60;3045;2384;51;3196;2348;77;3227
Padova;2592;46;3410;2743;64;3579;2589;38;3387
Rovigo;537;22;732;513;22;662;550;14;741
Veneto;12403;285;16512;13220;321;17286;12774;309;16994
Pordenone;596;16;792;678;19;877;689;13;911
Udine;1114;52;1402;1182;39;1541;1192;27;1560
Gorizia;344;10;417;438;4;522;414;9;557
Trieste;916;4;1101;967;12;1165;892;7;1094
Friuli-Venezia-Giulia;2970;82;3712;3265;74;4105;3187;56;4122
Imperia;901;10;1150;908;15;1101;986;13;1216
Savona;1101;20;1414;1332;7;1695;1259;14;1598
Genova;4411;25;5268;4850;30;5810;4595;21;5482
La Spezia;753;9;934;773;5;1007;690;7;898
Liguria;7166;64;8766;7863;57;9613;7530;55;9194
Piacenza;980;24;1263;1041;26;1338;1076;21;1356
Parma;1214;22;1592;1427;36;1896;1434;24;1853
Reggio nell'Emilia;1548;26;1998;1690;35;2203;1744;26;2308
Modena;2468;48;3155;2614;40;3410;2619;51;3425
Bologna;3709;59;4865;4098;56;5478;4069;77;5385
Ferrara;1006;33;1292;1061;29;1382;1111;22;1466
Ravenna;1466;33;1917;1687;40;2183;1637;28;2137
Forli'- Cesena;1357;24;1717;1447;27;1829;1502;19;1881
Rimini;1483;12;1819;1614;22;1957;1617;11;2007
Emilia Romagna;15231;281;19618;16679;311;21676;16809;279;21818
Massa Carrara;721;4;955;889;9;1201;808;10;1099
Lucca;1496;13;1929;1596;27;2053;1676;19;2159
Pistoia;822;17;1046;949;20;1239;937;10;1238
Firenze;4239;49;5307;5044;56;6135;4904;61;6058
Prato;896;9;1101;945;5;1114;927;4;1091
Livorno;1532;14;1972;1644;18;2112;1632;20;2084
Pisa;1453;30;1945;1529;20;2046;1556;28;2071
Arezzo;946;20;1273;963;30;1296;873;23;1145
Siena;713;17;955;748;23;1040;765;11;998
Grosseto;778;17;1027;804;17;1071;855;16;1156
Toscana;13596;190;17510;15111;225;19307;14933;202;19099
